alphabet,word,definition,alternative_word,alternative_definition,
A,acqua orgiata,barlie water,,,
A,acqua perpetua,a ftill standing water,,,
A,acqua pioggiana,raine water,,,
A,acqua piouana,raine water,,,
A,acqua queta,"a still water. Also a close,",,"slie, lurking knaue, a stil sow as we say",
A,acqua rosa,rose water,,,
A,acqua stante,anie standing water,,,
A,acqua stillata,"Aquauit?_, or Rosasolis",,,
A,acqua vite,"Aquauite, water of life",,,
A,acqua viua,running-spring water,,,
A,acquaferrata,smiths water wherein iron was quenched,,,
A,acquagliare,to crud or crudle,,,
A,acquaglioso,"cruddie, full of cruds",,,
A,acquaia,,,,
A,acquaio,"a cesterne, a waterish place",,,
A,acquaiuole,a kind of wind gattes full of water in a horse,,,
A,acquaiuole herbe,almanner of hearbs growing by or in the waters,,,
A,acquaiuoli,"water-bearers, tankardbearers",,,
A,acquamanile,an ewer to giue water with,,,
A,acquare,"to water, to ouerflow",,,
A,acquarella,a little brooke or water. Also washt or water colours. Also thin waterish matter running from sores,,,
A,acquarello,an ewer. Also a kind of small weake wine,,,
A,acquarino,"waterish, borne vnder Aquarius. Also tasting of water",,,
A,acquario,"one of the twelue signes in the Zodiack named Aquarius. Also anie place for water, an eawerie",,,
A,acquaruolo,"a water man, a waterbearer",,,
A,acquastrino,that groweth or liueth in the water,,,
A,acquatelle,a kind of fresh water fish,,,
A,acquatico,"waterish, plashie, moist, fennie, moorish, full of water","Vccello acqu??tico,",anie kind of water or s<*>afoule. Also a kind of smallest wine,
A,acquatile,,,,
A,acquato,a kind of small waterish wine,,,
A,acquattare,"to squat to the ground, to cowre downe as it were to hide himselfe",,,
A,acquazzare,to plash or slough or pudle,,,
A,acquazzo,"a pudle, a plash, or sinke where filthie water is cast, a flood of waters",,,
A,acquazzone,,,,
A,acquazzoso,"watrish, plashie, moorish",,,
A,acquedotto,a water conduit,,,
A,acqueo,"waterish, of the nature of water, water-bred. Also a waterie colour",,,
A,acquetare,"to quiet, to whish, to still, to appease, to calme, to pacifie",,,
A,acquetta,a little water or brooke,,,
A,acquidoccio,a water conduit or pipe,,,
A,acquidoso,"moist, waterish, plashie",,,
A,acquidotto,a water conduit,,,
A,acquiescere,"to still, to quiet, to whish",,,
A,acquiescimento,"a quietting, a whishing",,,
A,acquietare,"to quiet, to still, to whish",,,
A,acquifoglio,"to hollie, Holme or Huluertree",,,
A,acquisitione,"an acquisition, a purchasing",,,
A,acquisito,"acquired, gotten, purchased",,,
A,acquistamento,"a purchase, an acquiring",,,
A,acquistare,"to acquire, to purchase",,,
A,acquisteuole,"acquirable, purchasable",,,
A,acquisto,"a purchase, an acquisition",,,
A,acquittanza,an acquittance,,,
A,acquone,a great water. Also a fish called in Latine Agonus,,,
A,acquosit??_,,,,
A,acquoso,"watrish, full of water",,,
A,acre,"sowre, sharp, tart, eagre",,,
A,acredenza,at or vpon trust or credit,,,
A,acreditare,to credit or trust,,,
A,acredito,vpon credit or trust,,,
A,acremente,"sowrely, sharply, eagrelie",,,
A,acrepa cuore,"at hearts ease, as a mans heart would wish, hold bellie hold. Some take it in the contrarie sense, against ones heart, vntill ones heart burst",,,
A,acrepa fegato,idem,,,
A,acrepa pancia,,,,
A,acrestare,,,,
A,acrezza,"eagrenesse, sharpnesse, sowrenesse",,,
A,acrida,by cries or proclamation,,,
A,acrilogia,sowre or bitter speaking,,,
A,acrilogo,a sowre or bitter speaker,,,
A,acrimonia,,,,
A,acrimonio,as,,,
A,acrimonioso,full of sharpnesse or tartnesse,,,
A,acrisia,want of iudgement or wit,,,
A,acrit??_,,,,
A,acro,"sowre, eagre, sharpe, tart",,,
A,acrocette,with eroslets in armorie,,,
A,acrocordone,a kind of wartes so small at the roots that they seeme to hang by sinewes,,,
A,acrocorino,a kind of Onion or Bulbous plant,,,
A,acronicamente,looke,,,
A,acronico,,,,
A,acronicto,,,,
A,acrore,"eagrenesse, sharpnesse, sowrenesse",,,
A,acrume,,,,
A,acuglia,an Eagle. Also a needle,,,
A,acuino,a horne fish or horneback,,,
A,acuire,to make sharp pointed,,,
A,aculeare,"to prick or sting, as",,,
A,aculeo,"a sting, a prick, a thorne",,,
A,acume,sharpnesse of wit or sight,,,
A,acuminare,"to make sharp-peinted. Also to stir vp ones wit, to set in full sight",,,
A,acurato,as,,,
A,acutangolo,a sharpe corner or angle,,,
A,acutare,to make sharp pointed,,,
A,acutezza,"sharpnesse. Also subtiltie of wit, or viuacitie of sight",,,
A,acuto,"sharp pointed, keene. Also witty, subtile, politick, ingenious. Also anie sharpe pin, or peg of wood",,,
A,ad,euen as,A,"in the second, third, fourth, and sixt line of",
A,ad instanza,"at the instance, or entreaty",,,
A,ad intentione,with intention or purpose,,,
A,adacquabile,that may be watred,,,
A,adacquare,"to water as men doe wine, gardines, hearbs, or cattell",,,
A,adadunephosio,"a kind of pretiou, stone named of the kidnies",,,
A,adagiare,"to case, to accomodate, to settle",,,
A,adagio,"at case, at leasure, faire and sof<*>lie, leasurelie. Also an adage or prouerb",,,
A,adamante,the adamant-stone. Also a Diamond. Also an hearb vsed in enchantments,,,
A,adamantida,"an hearb that makes Lionsloose their strength, and fall to the ground if they come neere vnto it",,,
A,adamantino,"adamantine. Also hard, storne, fell, inexorable",,,
A,adambe mani,with both hands,,,
A,adami,a kind of Ducke or wigin,,,
A,adana,,,,
A,adanda,a kind of deuiding in arithmetick vsed by marchants,,,
A,adare,"to be aware or circumspect, to perceiue, to forecast, to foresee",,,
A,adarea,a kind of reed called Calamachne. Also a certaine beast liuing in the water,,,
A,adarma collo,with or a<*>an armed neck. Also bugging about the necke,,,
A,adastare,"to spite, to vex, to prouoke, or set on. Also to striue or contend",,,
A,adastiamento,"spite, vexation, prouocation. Also strife or rancor",,,
A,adastiare,,,,
A,adasto,as,,,
A,adattamente,"aptlie, fitlie, warilie",,,
A,adattare,,,,
A,adatto,"apt, proper, readie for all assaies",,,
A,adberfare,"to sprinkle, to asperge, to spirt",,,
A,adberfatione,"a sprinkling, an asperging",,,
A,add??_,,,,
A,adda,a kind of root,,,
A,addace,a kind of Roe-buck in Affrica,,,
A,addagiare,,,,
A,addagio,as,,,
A,addare,"but properlie to become or beseeme well vnto, to be conuenient",,,
A,addato,"wise, warie, circumspect. Also beseemed well vnto, fitting, conuenient",,,
A,addattamente,"aptlie, fitlie, properly",,,
A,addattare,"to fit, to adapt, to apropriate",,,
A,addebolire,to weaken,,,
A,addegnare,"to daigne, to vouchsafe. Also to make worthie",,,
A,addempimento,an accomplishment,,,
A,addempire,"to fulfill, to accomplish",,,
A,addensamento,"a condensing, a thickning",,,
A,addensare,"to thicken, to condense",,,
A,addentare,"to season, to catch hold, to pinch or nip with the teeth as a dog",,"doth a Deare, or with any tonges or pincers. Also to indent any worke. Also to engraile or indent in armorie",
A,addentellate parole,"biting, sharpe words",,,
A,addestrare,"to fit, to adapt or sute vnto. Also to enable, to make nimble, to tame. Also to place, to be or to goe on the right hand of one. Also to sooth ones humor",,,
A,addiacciare,to freeze or become frost,,,
A,addimanda,"a demand, a question",,,
A,addimandare,"to demand, to aske. Also to name, to nominate, or call by name",,,
A,addire,"to wit, id est, that is to saie",,,
A,addirizzare,"to addresse, to direct. Also to leuell or make straight. Also to redresse",,,
A,addiscere,to learne,,,
A,additare,to point at with ones fingers,,,
A,additione,"an addition, or adiunct",,,
A,addito,"to be pointed at, at gaze, in view",,,
A,addobbamenti,"enrobings, or naments, costlie raiments, funitures, or dightings",,,
A,addobbare,"to enrobe, to arraie, to adorne, to dight or set forth with ornaments",,,
A,addobbo,any dressing or dighting,,,
A,addocchiare,"to eie, to gaze on, to take view of",,,
A,addogare,"to border about, as some armes be, to pane, or to pale about",,,
A,addogliare,"to grieue or afflict with sorow, smart or vexation",,,
A,addolciare,"to sweeten, to enmilden",,,
A,addolcire,as,,,
A,addolorare,,,,
A,addomanda,"a demand, a question",,,
A,addomandare,,,,
A,addomesticare,"to tame, to make familiar",,,
A,addonare,"to giue vnto, to adict",,,
A,addoppiare,to double,,,
A,addormentare,to lull or fall asleepe,,,
A,addormire,,,,
A,addossare,"to laie on ones back, to heape vpon",,,
A,addosso,"on, vpon, or about ones backe",,,
A,addottare,,,,
A,addotto,"alledged, produced, brought",,,
A,addottoramento,a doctoring,,,
A,addottorare,"to take or giue the degree of a doctor, to doctorate",,,
A,addottrinare,"to endoctrine, to instruct",,,
A,addouinare,"to diuine, to guesse",,,
A,addozzenare,to make vp in dozens,,,
A,addrizzare,,,,
A,adduare,to put two and two to double,,,
A,adducere,to lead or bring vnto. Also to alledge,,,
A,adduggiare,to moisten or make hu-,,"mid. Also to obscure or darken. Also to bewitch, to forspeake, to make or become vnluckie",
A,adduggiatore,"a witch, a sorcerer",,,
A,adduggioso,"humid, full of moistnesse. Also darkesome. Also full of charmes or witchcraft",,,
A,addurare,"to harden, to obdurate",,,
A,addurre,,,,
A,addutto,led or brought vnto. Also obledged,,,
A,adeguanza,"anequalling, a matching",,,
A,adeguare,"to equall, to euen, to match",,,
A,adeguatione,an equall computation,,,
A,adello,a fish called. Attilus in Latine,,,
A,adelphide,a kind of Date as it were sister to others,,,
A,ademmo,as,"Aued??mmo,","we fore saw or perceiued, of",
A,adempimento,an accomplishment,,,
A,adempire,"to fulfill, to accomplish",,,
A,adena,,,,
A,adentare,,,,
A,adentato,"embattelled or as some say engrailed, or endented in armorie",,,
A,adentellare,"to vnderprop, to support. Also among masons, to leaue stones or timbers ends ietting out in vnfinished buildings, that they may the easier be continued or ended",,,
A,adentellato,an out iutting of an vnfinished worke. Also vnderpropt,,,
A,adenti,engrailed in armory,,,
A,adentrare,"to enter far in, to inward",,,
A,adentro,"within, far in",,,
A,adergere,,,,
A,adersare,to addresse or direct vnto,,,
A,aderso,adressed or directed vnto,,,
A,adescamento,"an embaiting, an allurement",,,
A,adescare,to embait. Also to allure or entice,,,
A,adescare un pezzo,to prime a piece,,,
A,adescatura,,,,
A,adess'adesso,"euen now, by and by",,,
A,adesso,"now, at this instant",,,
A,adestare,to awaken,,,
A,adestrare,,,,
A,adestro,"fitly, prosperously, adue",,,
A,adetta,"by, or vpon report",,,
A,adextra,"from without, without",,,
A,adherbare,to grow or goe to grasse,,,
A,adherente,"adherent, coherent",,,
A,adherenza,"adherency, affinity",,,
A,adherire,"to adhere, or take part with",,,
A,adhora,"now, at this houre. Also at times, at houres, or sometimes",,,
A,adhora adhora,euen now at this houre,,,
A,adhorrire,to bee or put in horror,,,
A,adhotta ad hotta,,,,
A,adhuggere,to swallow vp with greedinesse. Also to parch and consume with heat. Also to,,darken or obscure,
A,adhuggiare,,,,
A,adi,"o, adue, to God, fare ye well",,,
A,adiacente,adiacent neere bounding,,,
A,adianto,the hearb Maidens haire,,,
A,adiato,idem,,,
A,adicto,"one doomed to serue, such debters as by an ancient law were adiudged to serue their creditors as slaues being vnable to pay them",,,
A,adietro,"behind, after, also heretofore",,,
A,adietrouia,"behind, afterward",,,
A,adiettiuo,a noune adiectiue,,,
A,adigiuno,"fasting, before feeding",,,
A,adiguazzare,"to dash or dable in water, to plash. Also to make good cheere",,,
A,adiguazzo,dashingly. Also making good cheere with full dishes,,,
A,adiligione,"in mockery, in derision",,,
A,adilongo,"at length, forth right",,,
A,adima,"low, sunken to the ground",,,
A,adimaino,"a beast in India as big as an Asse, with wooll and hornes like a sheepe",,,
A,adimare,to descend or sinke downe,,,
A,adimesticare,to tame or make familiar,,,
A,adimeuole,that may be brought low,,,
A,adimo,"close vnto, neere adioining",,,
A,adimo adimo,very close vnto,,,
A,adinamone,a kind of wine made of spices,,,
A,adintra,"from within, withinward",,,
A,adinuenire,to meet or find by the way,,,
A,adio non piaccia,God for bid,,,
A,adipe,the sewet or seame of a sow,,,
A,adipene posteme,,,,
A,adipina,a bile or impostume or sore full offatty matter and corruption,,,
A,adiposo,a kind of Date or Date tree,,,
A,adipsatone,a kind of prickie shrub,,,
A,adipsone,an hearb that alaieth hunger and thirst,,,
A,adipsoso,as,,,
A,adirare,"to anger, to wroth, to enrage",,,
A,adiratamente,"angerly, irefully",,,
A,adiritto,"for thright, directly on",,,
A,adirittura,,,,
A,adirizzare,to adresse or direct vnto,,,
A,adirizzo,"an addresse, an addressement",,,
A,adiroso,"irefull, wrathfull, angry",,,
A,adirupare,to tumble do ne ruinously as from a rock,,,
A,adirupo,ruinously tumbling downe,,,
A,adismisura,beiond measure,,,
A,adispetto,"in despight, maugre ones will",,,
A,adistesa,"out stretchedly, forthright",,,
A,aditare,to point at with ones finger,,,
A,adito,"to be pointed at, at view, at gaze",,,
A,adito#2,,,,
A,aditto,adicted or giuen vnto,,,
A,adiuenimento,"a comming vnto, or to passe",,,
A,adiuenire,"to come vnto, to come to passe",,,
A,adiuenne,"it hapned, it came to passe",,,
A,adiurare,to abiure,,,
A,adiuratione,an abiuration,,,
A,adiustare,,,,
A,adiuuante,"help-affording, helping",,,
A,admettere,to admit,,,
A,adminicolo,"a help, a stay, a support",,,
A,administrare,to administer,,,
A,administratione,an administratio<*>n,,,
A,administratore,an administrator,,,
A,admissione,an admission,,,
A,admistiare,to mix or mingle vnto,,,
A,admistione,a mixing or blending vnto,,,
A,adobbamenti,,,,
A,adobbare,,,,
A,adobbo,a kind of dressing of meat,,,
A,adocchiare,,,,
A,adocchio,"by the eie, by sight. Also looke",,,
A,adocchio veggente,manifestly as an eie witnesse,,,
A,adoganiere,,,,
A,adogare,to border about in armory,,,
A,adoghe,bendy or bordered in armory,,,
A,adogni tempo,at all times,,,
A,adognihora,at all houres,,,
A,adognimodo,by any meanes howsoeuer,,,
A,adognipregio,at any rate or price,,,
A,adognipruoua,at all assaies,,,
A,adogo,"that tenure of land, which we call in Knights seruice",,,
A,adolescente,a yong child or lad,,,
A,adolescenza,"childhood, youth",,,
A,adolescere,a beneuolence of subiects to their Prince,,,
A,adolomato,"hauing a crick, or wrench in the neck or backe",,,
A,adolorare,,,,
A,adomanda,"a demand, a question",,,
A,adomandare,,,,
A,adombrare,"to shade, to shadow, to ouershadow a picture. Also to start or giue back for feare as some horses. Also to suspect or mistrust and as we say to take pepper in the nose. Also to couer, to hide a thing or meaning, or to figure a matter, to glance at any thing in speech",,,
A,adonare,to giue vnto. Also to tame or danton,,,
A,adonato,giuen or enclined vnto,,,
A,adoncia,by ounces,,,
A,adoncia ad oncia,ounce by ounce,,,
A,adone,"a fish that hath a voice, and",,sleepeth on dry land,
A,adonestare,to make honest,,,
A,adonio,the Adonis flowre,,,
A,adonta,in despight or reproch,,,
A,adontare,"to despight, to shame, to reproach",,,
A,adontato,"spighted, shamed, wronged",,,
A,adoperamento,a vsing or occupying,,,
A,adoperare,"to vse, to occupie, to employ in any manner of worke",,,
A,adoperatiuo,as,,,
A,adopereuole,"that may be vsed, emploied or occupied about any worke",,,
A,adoppiare,to double,,,
A,adoppio,"doubly, two fold",,,
A,adopramento,as,,,
A,adoprare,,,,
A,adopratiuo,as,,,
A,adopreuole,,,,
A,adorando,to be adored or worshipped,,,
A,adoranza,,,,
A,adorare,"to worship, to adore",,,
A,adoratione,"worship, adoration",,,
A,adoratore,"a worshipper, an adorer",,,
A,adorbaggine,blindnesse,,,
A,adorbare,"to blind, to make blind",,,
A,adorbo,"blindly, as a blind man, carelesly, hand ouer head",,,
A,adorcare,to grub or harrow the earth,,,
A,adorea,the glory and honour belonging to corne in generall,,,
A,adoreo,"red bearded wheat, so called in old times",,,
A,adoreuole,that may be worshipped,,,
A,adorezzare,to ouershade with trees or leaues. Also to blow as the wind,,,
A,adormentare,to bring or fall asleep,,,
A,adormire,,,,
A,adornamenti,"or naments, deckings, dightings, trimmings, embellishments",,,
A,adornare,"to adorne, to deck, to dight, to trim, to embellish",,,
A,adornatura,any kind of or nament or adorning,,,
A,adornezza,,,,
A,adossare,to lay on ones backe,,,
A,adosso,"on, about, or vpon one, backe",,,
A,adottare,"to adopt, to endow, or foster vp",,,
A,adottione,adoption or endowment,,,
A,adottiuo,adoptiue or fostered,,,
A,adottorare,"to doctor, to doctorate",,,
A,adottrinare,"to endoctrine, to instruct",,,
A,adourare,,,,
A,adrachne,,,,
A,adrastia,"the ineuitable law of Fate, or reuenger of arrogance and insolence",,,
A,adritto,"rightly, by right. Also leuell or point blank",,,
A,adrizzare,to adresse or direct vnto,,,
A,adro,as,,,
A,adu,"o, as",,,
A,adua,"o, by two and two. Also a dewce at tennice",,,
A,aduare,to double two and two,,,
A,aducdere,,,,
A,aduentitio,as,,,
A,adu_nto,"a comming unto, an advent",,,
A,aduerbialmente,aduerbially,,,
A,aduerbio,an aduerbe,,,
A,aduersario,an aduersary,,,
A,aduersit??_,,,,
A,aduerso,aduerse,,,
A,aduggiare,,,,
A,aduggioso,as,,,
A,aduicinare,to aproach or come ncere vnto,,,
A,aduilire,as,,,
A,aduincere,,,,
A,aduinto,as,,,
A,adulare,"to flatter, to blandish",,,
A,adulatione,"flattery, adulation",,,
A,adulatore,"a flatterer, a clawbacke",,,
A,adulatorio,"flattering, blandishing",,,
A,adulatrice,a shee-flatterer,,,
A,adulta,a w<*>man mariageable,,,
A,adulteranza,,,,
A,adulterare,"to commit adulterie, to aduiterate. Also to falsifie or corrupt",,,
A,adulteratione,"an adulterating or falsifying, or corrupting of any thing",,,
A,adulterino,"adulterate, a bastard",,,
A,adulterio,"adultery, vncleannesse of life",,,
A,adultero,"an adulterer. Also false, counterfet, or sophisticated",,,
A,adulto,a man well growne and sprung vp,,,
A,adun tratto,"at once, at a cast, at a draught, at a throw",,,
A,aduna,"together, in company, with. Also at once Also one by one",,,
A,aduna ad una,one by one,,,
A,adunanza,an assembly,,,
A,adunare,to assemble together,,,
A,adunatione,an assembly,,,
A,aduncare,to bend or make crooked,,,
A,adunco,crooked or bending like an Eagles beake,,,
A,adunghiare,"to catch, sease on, or take hold with nailes, clawes or pounces",,,
A,aduno ad uno,by one and one,,,
A,adunque,"then, therefore",,,
A,aduo a du,"o, by two and two",,,
A,aduocare,,,,
A,aduocato,as,,,
A,aduolo,in mourning weeds,,,
A,adusanza,according to custome,,,
A,adusare,"to vse, to accustome, to enure",,,
A,aduso,according to vse or custome,,,
A,adustare,"to burne, to parch, to scorch, to tanne with heat",,,
A,adustibile,"that may be burnt, parched, scorched or tanned",,,
A,adustione,parching or scorching heat,,,
A,adustiuo,burning or parching,,,
A,adusto,"adust, burnt, skorched",,,
A,ae,for,"Ha,",he crshe hath,
A,aelio,a kind of hawke,,,
A,aello,"the name of a dog, tempest",,,
A,aerare,"to aire, to weather",,,
A,aere,"the aire. Also an aspect, a countenance, a cheere, a looke or apparance in the face of man or woman. Also a tune or aire of a song or ditty. Also a kind of wood good to make oares with",,,
A,aereo,"airy, of the nature of aire",,,
A,aeroide,a pretious stone of a skie colour,,,
A,aeromante,a diuiner by the aire,,,
A,aeromantia,adiuination by the aire,,,
A,aerone,a Hearon,,,
A,aeroso,"airie, full of aire. Also cheerefull in aspect, full of countenance",,,
A,aetite,"a stone found in an eagles neast, it is also vsed for Borax to solder mettals with",,,
A,aeullana,a Filbert or Hazelnut,,,
A,af??_ afede,,,,
A,afa,"a sultry faint heat, when the sunne is ouercast with clouds, presaging some vnseasonable weather. Also tcdiousnesse or wearinesse of time. Also molestation, lazines, or anxiety of mind",,,
A,afaca,a kind of weed among corne,,,
A,afaccia a faccia,face to face,,,
A,afame,by famine or hunger,,,
A,afare? afare sia,"is it so? then do your worst, doe what you can",,,
A,afatica,"with labour, hardly",,,
A,afatto,"wholly, altogether, vtterly",,,
A,aferro,to the sword,,,
A,aferro & fuoco,,,,
A,aferro di cauallo,looke,Briglio.,,
A,afestone,"leafe-worke, looke",,,
A,afette,by slices or collops,,,
A,affabile,"affable, curteous, gratious",,,
A,affabilire,"to make or become affable, curteous, gratious and gentle",,,
A,affabilit??_,,,,
A,affabilmente,"curteously, gently, kindlie",,,
A,affacchinarsi,"to become a Porter; to become base minded, to become a slaue",,,
A,affaccia affaccia,face to face,,,
A,affacciare,"to face, to outface. Also to come before ones face. Also to appeare or looke out of a window or from of some high place, to shew ones face",,,
A,affacendato,"busied, full of affaires",,,
A,affacere,,,,
A,affagiauare,"to en-phesant, to dresse pheasant-like",,,
A,affalcare,is properly when a horse stops and staies vpon his hinder parts,,,
A,affaldare,"to fold vp, to pucker, to plait, to wrinkle",,,
A,affaldatura,"a folding, a pleiting, a puckering or wrinkling in clothes",,,
A,affalsare,"to falsifie, to forge",,,
A,affamare,"to famish, or hunger starue",,,
A,affamatico,"greedy, hunger starued",,,
A,affangare,"to bemire, to bemud",,,
A,affannare,to grieue or molest in mind,,,
A,affanno,"griefe, vexation, sorrow or trouble of mind, dreriment",,,
A,affannoso,"full of griefe, sorrow or vexation of mind, drerie",,,
A,affardellare,"to packe, or fardle vp, to trusse or fold vp together",,,
A,affare,"Also emploiment or businesse,",,,
A,affarinare,to floure with meale. Also to reduce or grind to meale,,,
A,affarsi,"to beseeme, to sute together",,,
A,affasciare,"to swathe or bind about, to bundle or fardle vp, to sheafe up corne",,,
A,affascinamento,as,,,
A,affascinare,"to charme, or for-speake or bewitch with lookes and words",,,
A,affascinatione,a bewitching or forspeaking with lookes and words,,,
A,affascinatore,a bewitcher with lookes and words,,,
A,affasgianare,,,,
A,affastellare,to bundle or fardle vp,,,
A,affastidire,"to trouble, to vex, to be tedious or fasheous vnto",,,
A,affatare,to enchant as Fairies doe,,,
A,affatica,"hardly, with labour",,,
A,affaticante,"a labouring man. Also labouring, or suffering",,,
A,affaticare,"to labour, to put to labour, to weary, to toile, to moile. Also to endeuour",,,
A,affaticheuole,,,,
A,affatocchiare,to charme or bewitch,,,
A,affatocchiera,"a witch, a sorceresse",,,
A,affatto,"wholly, vtterly, throughly",,,
A,affatucchiare,"to bewitch, to charme",,,
A,affatucchiera,"a witch, a charmer",,,
A,affaturare,"to be witch, to charme",,,
A,affe affede,in good faith,,,
A,affebbrare,to take or haue an ague,,,
A,affedare,"to trust, to affie. Also to warrant. Also enfeoffe, to commit vnto trust",,,
A,affede,in good faith or sooth,,,
A,afferesi,a figure which taketh a letter or sillable from the beginning of a word,,,
A,affermagione,an affirmation. Also a fixing vnto as a signet or seale,,,
A,affermare,to affirme. Also to affix vnto,,,
A,affermatamente,affirmatiuely,,,
A,affermatione,,,,
A,affermatiuamente,affirmatiuely,,,
A,affermatiuo,affirmatiue,,,
A,afferrante,grapling or clinching. Also a horse for seruice or for battell,,,
A,afferrare,"to gripe, to grapple, to clinch or seaze on violently",,,
A,affertatuzzo,"a nice, ouercurious, too much affected and ouerweening fellow",,,
A,affetriuo,"affecting, affectiue",,,
A,affettare,"to affect, to desire, to wish. Also to imitate curiously. Also to slice or cut into collops",,,
A,affettatione,"affectation, curiosity, a desire of that which nature hath not giuen",,,
A,affettatoio,a curious affecling fellow,,,
A,affetteuole,"affectable, that may bee affected",,,
A,affettionare,"to affectionate, to loue or beare good will vnto",,,
A,affettionatissimo,most affectionate,,,
A,affettionato,"affectionated, adicted",,,
A,affettione,"affection, good will, loue",,,
A,affetto,"an effect, a motiue, a disposition, a passion, a loue or good will vnto. Also affected, enclined, adicted, or liable vnto",,,
A,affettuosamente,very affectionately,,,
A,affettuoso,"affectionate, following the disposition or passion of another",,,
A,affia,a kind of fish,,,
A,affiatare,"to breath, or draw breath",,,
A,affiatellanza,afraternity or brotberhood,,,
A,affiato,as,,,
A,affibbiaglio,a buckle or buckling place,,,
A,affibbiamento,"a buckling, a clasping",,,
A,affibbiare,to buckle. Also to claspe,,,
A,affibiature,"a buckling, a clasping",,,
A,afficcare,to affix. Also to thrust in,,,
A,affidanza,"affiance, trust",,,
A,affidare,"to affie, to trust vnto",,,
A,affido,a kinsman by mariage or bobtaile,,,
A,affiebolire,,,,
A,affielire,to engall or enbitter,,,
A,affienire,to become hay,,,
A,affieuolezza,"feeblenesse, weaknesse",,,
A,affieuolire,to enfeeble,,,
A,affiggere,or,"f?_tto,","to affix, to fasten or stick vnto",
A,affigurare,"to marke, to view or to take notice of",,,
A,affilare,"to spin, to thrid. Also to set an edge vpon. Also to put into files or ranks",,,
A,affilato,spun. Also sharpe or edged. Also put into files or ranks. Also straight as a line,,,
A,affilatura,"a spinning, a thriding. Also a setting of an edge. Also a girdle",,,
A,affilo,as,,,
A,affinare,to refine. Also to giue ouer and make an end. Also as,,,
A,affinatore,a refiner. Also a shearegrinder,,,
A,affinimundo,to the worlds end,,,
A,affinire,as,,,
A,affioccamente,"in flaking manner. Pell mell, thicke and threefold. Also horcely. Also droopingly, faintly, or languishingly",,,
A,affioccare,"to flake as snow doth. Also to betassell, to tuffe, or hang with",,locks. Also to flocke or come thicke and threefold together. Also to burst out in laughter. Also to make or become hoarse in speaking. Also to droupe and wither away. Also to make or become faint and languishing,
A,affirmare,to affirme or affix vnto,,,
A,affirmatione,an affirmation,,,
A,affissare,to affix vnto,,,
A,affisso,"affixed or fastned vnto. Also an affix, or thing fixt to another",,,
A,affittagione,"a fee-farme, a demising or letting or renting of lands",,,
A,affittaiuolo,as,,,
A,affittare,"to demise, to farme, to rent or hire any lands or houses, to feefarme",,,
A,affittaruolo,as,,,
A,affittatione,,,,
A,affittatore,"a Farmer, a Landlord. Also a tenant of lands",,,
A,affitteuole,"rentable, that is or may be let or rented",,,
A,affitti,"rents, reuenewes or profits of lands or houses",,,
A,affitto,"by rent, in fee-farme, by lease, for rent. Also a fee-farme or rent. Also as",,,
A,affittuale,a Land-lord. Also a Tenant,,,
A,affittuario,"of or belonging to farming, letting, or renting",,,
A,affiubare,to buckle or claspe together,,,
A,afflabile,"that may be blowne, breathed or enspired",,,
A,afflare,"to blow, to breath vnto, to fill with winde. Also to enspire or to puffe vp",,,
A,afflato,filled or puffed vp with winde. Also breath or winde. Also breathing aire,,,
A,affliggere,"ablast, a winde, a breathing, a blowing. Also an inspiration",,,
A,afflittino,"afflicting, full of affliction. Also that afflicteth",,,
A,afflittione,"affliction, trouble, vexation, calamity",,,
A,affluente,"affluent, flowing, or abounding in wealth",,,
A,affluenza,"affluence, abundance",,,
A,affluire,to flow vnto. Also to abound in wealth,,,
A,affocare,"to set on fire, to kindle. Also to neale red whot. Also to stifle or smother",,,
A,affocaticcio,"firie, full of fire, easie to be set on fire",,,
A,affocato,"set on fire, nealed red whot, stifled, sinothered. Also a sorell colour of ahorse",,,
A,affodello,the Daffodill or Affodil,,,
A,affodillo,idem,,,
A,affogagine,a stifling or choaking. Al-,,"so a curse, as we say, a pockes choake you",
A,affogare,"to stifle, to smother, to choake. Also to drowne",,,
A,affoggiare,to fashion vnto,,,
A,affollare,"to croud or presse thicke together. Also to blow, to pant or gaspe",,,
A,affoltamento,as,,,
A,affoltare,"to presse, to thrust or croud together. Also to hudle vp thicke or in heapes. Also to speake mery, thicke and fast",,,
A,affoltata,"a presse, a croud, a thrust, a hudling vp in heapes. Also a thicktold tale, a hudling or fast speech",,,
A,affondamento,a sinking or plunging to the bottome,,,
A,affondare,"to sinke or plunge downe to the bottome, to ouer whelme",,,
A,affondatione,,,,
A,affondere,,,,
A,affondo,"to the bottome, very deepe",,,
A,afforismo,as,,,
A,afforticare,to trusse or tucke vp,,,
A,affortificare,"to for lifie, to strengthen",,,
A,afforza,"by force, forcibly, vpon compulsion, by maine strength",,,
A,afforzamento,an enforcement,,,
A,afforzare,"to re-enforce, to strengthen, to fortifie, to vnite, to force, to gather or adde strength. Also to force or compell",,,
A,affoscare,"to make or become duskie, foggie, mistie or darke",,,
A,affossamento,"a ditching, an entrenching",,,
A,affossare,"to enditch, to entrench, to dike. Also ditch or mote about, to pit",,,
A,affra,a kinde of fish,,,
A,affraccassare,,,,
A,affradellare,,,,
A,affrancare,"to enfranchise, or make free",,,
A,affrancatione,an enfranchising,,,
A,affrangere,,,,
A,affranto,as,,,
A,affrappare,,,,
A,affrappatore,,,,
